cohort,cancer,cancer_label,rank,source,source_label,modality,relation,interpretation,a,lcb,expected,evidence_class
control,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,2,lab_788-0_HIGH,Erythrocyte [DistWidth] in Red Blood Cells by Automated count - high,lab,across,laboratory,2.1653934412142126,1.264351311013824,4.926855166727364,cross-system candidate
control,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,3,lab_718-7_LOW,Hemoglobin [Mass/volume] in Blood - low,lab,across,laboratory,1.9737667582957124,1.2609813979301716,7.873039832803329,cross-system candidate
control,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,4,lab_X1727-7_HIGH,X1727-7 - high,lab,across,laboratory,2.4955931587332354,1.1968696579601346,2.371518914251752,cross-system candidate
control,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,5,lab_736-9_LOW,Lymphocytes/Leukocytes in Blood by Automated count - low,lab,across,laboratory,2.090725865692682,1.1426008158517555,4.449679689691209,cross-system candidate
control,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,6,med_8591,potassium chloride,med,across,medication,2.1579128820379423,1.0134087496122488,3.0536922094210013,cross-system candidate
control,icd_192,Malignant neoplasm of other and unspecified parts of nervous system,1,icd_348,Other conditions of brain,icd,within,clinical precursor,2.5511579303974803,1.3237223299988694,2.6549879884697702,positive control: same organ system
control,icd_141,Malignant neoplasm of tongue,1,icd_528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue",icd,within,clinical precursor,4.32765881122795,3.096251355967841,2.6378884974717494,positive control: same organ system
control,icd_184,Malignant neoplasm of other and unspecified female genital organs,1,icd_624,Noninflammatory disorders of vulva and perineum,icd,within,clinical precursor,4.7385108950465336,3.4931186648930392,2.578978297856395,positive control: same organ system
control,icd_184,Malignant neoplasm of other and unspecified female genital organs,2,icd_622,Noninflammatory disorders of cervix,icd,within,clinical precursor,2.799130080786619,1.8613262222430509,4.548162370934847,positive control: same organ system
control,icd_184,Malignant neoplasm of other and unspecified female genital organs,3,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,across,laboratory,2.28414604271218,1.0212853996999114,2.5081247508628195,positive control: tumour marker ordering
control,icd_C50,Malignant neoplasm of breast,1,proc_99203,"Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code...",proc,across,care pathway,3.480574937878636,2.322020106945708,2.980072339089133,care pathway
control,icd_C50,Malignant neoplasm of breast,2,proc_99213,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter...",proc,across,care pathway,2.665946303584793,1.796305808908528,5.289084220192649,care pathway
control,icd_C50,Malignant neoplasm of breast,3,proc_99396,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/d...",proc,across,care pathway,2.898636490185173,1.753112317373121,3.048256265567545,care pathway
control,icd_C50,Malignant neoplasm of breast,4,proc_99214,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the enco...",proc,across,care pathway,2.513883410426355,1.3918938241428138,3.177476441142701,care pathway
control,icd_194,Malignant neoplasm of other endocrine glands and related structures,1,icd_255,Disorders of adrenal glands,icd,within,clinical precursor,4.855191882404465,3.873761196431786,4.152797226433563,positive control: same organ system
control,icd_186,Malignant neoplasm of testis,1,icd_608,Other disorders of male genital organs,icd,within,clinical precursor,4.274015921003898,3.3814431834238587,5.020798079461201,positive control: same organ system
control,icd_C44,Other and unspecified malignant neoplasm of skin,1,proc_99396,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/d...",proc,across,care pathway,4.010435548296853,3.3186346637751845,8.357911446572075,care pathway
control,icd_C44,Other and unspecified malignant neoplasm of skin,2,icd_Z00,"Encounter for general examination without complaint, suspected or reported diagnosis",icd,within,clinical precursor,3.803645193159893,3.0938965538536287,7.94055492544885,care pathway: screening encounter
control,icd_C44,Other and unspecified malignant neoplasm of skin,3,icd_Z23,Encounter for immunization,icd,within,clinical precursor,3.924975694048451,2.977143559851217,4.4524303501515305,care pathway: screening encounter
control,icd_C44,Other and unspecified malignant neoplasm of skin,4,proc_90686,"Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, 0.5 mL dosage, for intramuscular use",proc,across,care pathway,3.975234296173201,2.8950391651410428,3.428116406534855,care pathway
control,icd_C44,Other and unspecified malignant neoplasm of skin,5,icd_E78,Disorders of lipoprotein metabolism and other lipidemias,icd,within,clinical precursor,3.852596799914125,2.826826056096784,3.8015383383807935,cross-system candidate
control,icd_C44,Other and unspecified malignant neoplasm of skin,6,proc_99213,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter...",proc,across,care pathway,3.433489373626152,2.809652778823259,10.278229170790382,care pathway
control,icd_156,Malignant neoplasm of gallbladder and extrahepatic bile ducts,1,icd_576,Other disorders of biliary tract,icd,within,clinical precursor,4.680831523085245,3.5010684459037678,2.873891654903389,positive control: same organ system
control,icd_158,Malignant neoplasm of retroperitoneum and peritoneum,1,icd_789,Other symptoms involving abdomen and pelvis,icd,within,clinical precursor,2.0110818970812168,1.2724745588176294,7.33217387039943,cross-system candidate
control,icd_158,Malignant neoplasm of retroperitoneum and peritoneum,2,icd_V72,Special investigations and examinations,icd,within,clinical precursor,1.7993472930688004,1.103833582752366,8.268916386127103,care pathway: screening encounter
control,icd_158,Malignant neoplasm of retroperitoneum and peritoneum,3,lab_5898-2_NORMAL,Deprecated Activated partial thrombplastin time (aPTT) in Blood by Coagulation assay - normal,lab,across,laboratory,1.8867807793277147,1.02120574074933,5.338884724106606,cross-system candidate
control,icd_158,Malignant neoplasm of retroperitoneum and peritoneum,4,lab_5902-2_NORMAL,Prothrombin time (PT) - normal,lab,across,laboratory,1.9194321445590945,1.0063076675735712,4.79733473244184,cross-system candidate
control,icd_208,Leukemia of unspecified cell type,1,lab_777-3_LOW,Platelets [#/volume] in Blood by Automated count - low,lab,across,laboratory,2.729853097930789,1.4917727565996923,2.609530250988911,cross-system candidate
control,icd_208,Leukemia of unspecified cell type,2,lab_789-8_LOW,Erythrocytes [#/volume] in Blood by Automated count - low,lab,across,laboratory,2.1708577801398574,1.417576592307856,7.049296016787082,cross-system candidate
control,icd_208,Leukemia of unspecified cell type,3,lab_788-0_HIGH,Erythrocyte [DistWidth] in Red Blood Cells by Automated count - high,lab,across,laboratory,2.328900145984621,1.314265476141823,3.8854434758104617,cross-system candidate
control,icd_208,Leukemia of unspecified cell type,4,lab_718-7_LOW,Hemoglobin [Mass/volume] in Blood - low,lab,across,laboratory,2.1065661795772894,1.2915028142518996,6.021119472478517,cross-system candidate
control,icd_208,Leukemia of unspecified cell type,5,lab_5902-2_HIGH,Prothrombin time (PT) - high,lab,across,laboratory,2.1618451261647285,1.0352545508671636,3.151575849616677,cross-system candidate
control,icd_152,"Malignant neoplasm of small intestine, including duodenum",1,lab_789-8_LOW,Erythrocytes [#/volume] in Blood by Automated count - low,lab,across,laboratory,1.911899036229081,1.0526259303925516,5.417482948516295,cross-system candidate
