cohort,cancer,source,target,a,lcb,expected
control,icd_157,icd_573,icd_575,1.5929627277462586,1.4413694552662926,3.8278149010537277
control,icd_157,icd_575,icd_573,1.614426196473039,1.522850078316325,3.4723969766886853
control,icd_157,icd_537,icd_531,4.334241733750076,4.303810821106942,3.1389756041228623
control,icd_157,icd_531,icd_537,4.379917552295538,4.357514492949836,2.856351192974415
control,icd_157,icd_575,icd_537,1.3284720273396267,1.0957893820728646,0.590865985410769
control,icd_191,icd_348,icd_742,2.8677634524196365,2.791435399602059,3.6677808211713625
control,icd_191,icd_742,icd_348,3.3135491632364675,3.263985547970254,8.842748992320537
control,icd_191,icd_348,icd_431,2.7643127746910534,2.7159412079527305,17.496633547207807
control,icd_191,icd_431,icd_348,3.2361919114420497,3.2162829760055365,56.33717634110417
control,icd_191,icd_V66,icd_348,1.4507030314086276,0.7679235598870593,0.27019933228658033
control,icd_191,icd_348,icd_377,2.82876392936862,2.747712985555064,4.153689502801683
control,icd_191,icd_377,icd_348,2.9854819321851074,2.924512215435677,7.759861106989547
control,icd_191,icd_348,icd_368,1.321768018067767,1.238104130655014,7.676266851352409
control,icd_191,icd_368,icd_348,1.9397202632571973,1.8700437873663187,16.819311140103082
control,icd_191,icd_348,icd_432,2.8356824924960002,2.783419334484036,19.212486358560454
control,icd_191,icd_432,icd_348,3.3188708725413996,3.2971751906504125,44.13548900221758
control,icd_191,icd_348,icd_349,2.547004276719003,2.5016235020108715,8.650614480158936
control,icd_191,icd_349,icd_348,2.586043645523352,2.51345432877081,8.327987150467948
control,icd_191,icd_742,icd_431,3.2144929192008216,3.0722207381396536,1.363810333708777
control,icd_191,icd_431,icd_742,2.15195447677256,1.8841079960088103,0.6132305319933238
control,icd_191,icd_742,icd_368,1.1179388203839318,0.6446779731336718,0.31111205742439196
control,icd_191,icd_742,icd_432,1.687470150433503,0.9273214885802749,0.30283774334920466
control,icd_191,icd_432,icd_742,1.4896321218013535,0.8747934841050969,0.22806922962012344
control,icd_191,icd_742,icd_349,3.715739394831066,3.6506759044809347,1.383282306583311
control,icd_191,icd_349,icd_742,3.1079155915759085,2.911947160147087,0.45174487952087716
control,icd_191,icd_431,icd_368,1.3814750755932976,1.2462873003895723,2.7872301974047105
control,icd_191,icd_368,icd_431,1.6278611322586607,1.3804254537511016,2.09679393114007
control,icd_191,icd_431,icd_432,4.050436966708543,4.023831905763746,22.143033556319438
control,icd_191,icd_432,icd_431,4.654790252590226,4.639960691775895,28.58621458675225
control,icd_191,icd_431,icd_349,1.5539330902259791,1.3438035597171645,1.0961094674139318
control,icd_191,icd_349,icd_431,1.3510935797713977,0.7022468452808134,0.4124718583812772
control,icd_191,icd_377,icd_368,3.8524137894210724,3.8251863667528374,5.837524782411265
control,icd_191,icd_368,icd_377,4.253093765818064,4.2210681774950265,6.444191111018313
control,icd_191,icd_377,icd_349,3.0404863136362734,2.9272281663031015,0.8578208086199197
control,icd_191,icd_349,icd_377,3.4382312159247945,3.294394912398272,0.7401425776978598
control,icd_191,icd_368,icd_349,2.9431997671601455,2.89306674869106,4.800300578469006
control,icd_191,icd_349,icd_368,2.106429091245035,1.9818162988868404,1.6297360500617089
