cohort,cancer,cancer_label,side,rank,source,source_label,modality,a,lcb,specificity,expected,tier
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,8,lab_1742-6_LOW,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma - low,lab,2.5280110145159065,2.351130545593276,2.073921018934672,1.6402569493276786,primary
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,9,lab_777-3_HIGH,Platelets [#/volume] in Blood by Automated count - high,lab,2.360379143252163,2.2916561972257727,1.0664359706093434,10.711460793854371,secondary
full,icd_157,Malignant neoplasm of pancreas,diagnosis,1,icd_577,Diseases of pancreas,icd,4.480459305610909,4.473501618837526,4.822108864835993,27.819323592647834,primary
full,icd_157,Malignant neoplasm of pancreas,diagnosis,2,icd_576,Other disorders of biliary tract,icd,4.221625604501728,4.20587855948645,4.50747569917522,7.101145065425953,primary
full,icd_157,Malignant neoplasm of pancreas,diagnosis,3,icd_452,Portal vein thrombosis,icd,3.4020839274648247,3.2664855187113226,3.1838542817437308,0.21311326533278496,primary
full,icd_157,Malignant neoplasm of pancreas,diagnosis,4,icd_751,Other congenital anomalies of digestive system,icd,3.086680049286641,2.9801355034127908,2.9727490385705058,0.5445668825430481,primary
full,icd_157,Malignant neoplasm of pancreas,diagnosis,5,icd_573,Other disorders of liver,icd,2.4661310327086348,2.414886847757397,1.902746025941001,3.7110890321609986,primary
full,icd_157,Malignant neoplasm of pancreas,diagnosis,6,icd_537,Other disorders of stomach and duodenum,icd,2.120962839559683,1.9625600211713092,2.135335346536075,0.5874741156858398,primary
full,icd_157,Malignant neoplasm of pancreas,diagnosis,7,icd_531,Gastric ulcer,icd,2.044811294205256,1.8162503010994822,2.5495420465352368,0.2982692184381275,primary
full,icd_157,Malignant neoplasm of pancreas,diagnosis,8,icd_575,Other disorders of gallbladder,icd,1.8401648855494912,1.7021327718381005,2.5272901988712113,1.061900948860199,primary
